EXPSAMPLE_ACCESSION	REAGENT_ACCESSION
ES1003802	ESR15723
ES1003803	ESR16851
ES1003803	ESR15724
ES1003803	ESR15722
ES1003803	ESR15678
ES1003805	ESR15700
ES1003805	ESR15697
ES1003805	ESR15676
ES1003806	ESR15672
ES1003807	ESR15731
ES1003809	ESR15723
ES1003809	ESR15678
ES1003810	ESR15693
ES1003810	ESR15679
ES1003811	ESR15715
ES1003812	ESR15711
ES1003812	ESR15709
ES1003812	ESR15673
ES1003813	ESR15723
ES1003814	ESR15674
ES1003815	ESR15685
ES1003815	ESR15682
ES1003816	ESR15678
ES1003819	ESR15692
ES1003820	ESR15728
ES1003820	ESR15681
ES1003821	ESR15703
ES1003823	ESR15680
ES1003825	ESR15673
ES1003827	ESR15678
ES1003828	ESR15719
ES1003828	ESR15680
ES1003829	ESR15686
ES1003830	ESR15679
ES1003832	ESR15677
ES1003832	ESR15672
ES1003834	ESR16851
ES1003834	ESR15725
ES1003835	ESR15714
ES1003835	ESR15674
ES1003836	ESR15720
ES1003836	ESR15719
ES1003836	ESR15718
ES1003836	ESR15679
ES1003837	ESR15694
ES1003838	ESR15710
ES1003839	ESR15684
ES1003839	ESR15679
ES1003840	ESR15680
ES1003840	ESR15678
ES1003840	ESR15673
ES1003841	ESR15692
ES1003841	ESR15691
ES1003841	ESR15679
ES1003842	ESR15683
ES1003843	ESR15711
ES1003843	ESR15675
ES1003845	ESR15725
ES1003845	ESR15724
ES1003845	ESR15673
ES1003846	ESR15698
ES1003848	ESR15678
ES1003848	ESR15677
ES1003850	ESR15731
ES1003850	ESR15706
ES1003851	ESR15698
ES1003851	ESR15696
ES1003852	ESR15686
ES1003853	ESR15680
ES1003853	ESR15672
ES1003855	ESR15679
ES1003856	ESR15724
ES1003857	ESR15726
ES1003857	ESR15719
ES1003857	ESR15678
ES1003858	ESR15680
ES1003860	ESR15678
ES1003860	ESR15673
ES1003861	ESR15720
ES1003862	ESR15729
ES1003864	ESR15676
ES1003865	ESR15678
ES1003865	ESR15675
ES1003865	ESR15674
ES1003866	ESR15679
ES1003867	ESR15687
ES1003867	ESR15678
ES1003868	ESR15687
ES1003869	ESR15688
ES1003869	ESR15685
ES1003870	ESR15673
ES1003870	ESR15671
ES1003871	ESR15723
ES1003874	ESR15711
ES1003874	ESR15675
ES1003876	ESR15680
ES1003877	ESR15729
ES1003877	ESR15691
ES1003880	ESR15721
ES1003880	ESR15720
ES1003882	ESR15692
ES1003882	ESR15690
ES1003884	ESR15697
ES1003885	ESR15728
ES1003885	ESR15685
ES1003885	ESR15682
ES1003886	ESR15721
ES1003886	ESR15678
ES1003888	ESR15722
ES1003889	ESR15679
ES1003890	ESR15679
ES1003890	ESR15675
ES1003891	ESR16852
ES1003892	ESR15689
ES1003893	ESR15678
ES1003894	ESR16852
ES1003894	ESR15724
ES1003894	ESR15722
ES1003895	ESR15708
ES1003895	ESR15706
ES1003895	ESR15680
ES1003896	ESR15720
ES1003897	ESR15688
ES1003897	ESR15687
ES1003898	ESR15726
ES1003898	ESR15679
ES1003898	ESR15673
ES1003899	ESR15732
ES1003900	ESR15676
ES1003900	ESR15673
ES1003900	ESR15672
ES1003900	ESR15671
ES1003901	ESR15674
ES1003902	ESR15674
ES1003903	ESR15683
ES1003904	ESR15725
ES1003904	ESR15724
ES1003904	ESR15674
ES1003904	ESR15673
ES1003906	ESR15704
ES1003908	ESR15679
ES1003908	ESR15678
ES1003909	ESR15686
ES1003909	ESR15682
ES1003910	ESR15725
ES1003912	ESR16852
ES1003913	ESR15725
ES1003914	ESR15711
ES1003914	ESR15680
ES1003914	ESR15675
ES1003915	ESR15688
ES1003917	ESR15710
ES1003917	ESR15680
ES1003917	ESR15675
ES1003917	ESR15674
ES1003919	ESR16851
ES1003919	ESR15723
ES1003919	ESR15721
ES1003920	ESR15731
ES1003920	ESR15708
ES1003920	ESR15704
ES1003921	ESR15722
ES1003922	ESR15680
ES1003923	ESR15698
ES1003923	ESR15696
ES1003926	ESR15677
ES1003926	ESR15674
ES1003929	ESR15720
ES1003930	ESR15732
ES1003930	ESR15673
ES1003931	ESR15722
ES1003932	ESR15687
ES1003932	ESR15685
ES1003932	ESR15684
ES1003932	ESR15678
ES1003933	ESR15679
ES1003933	ESR15675
ES1003934	ESR15706
ES1003935	ESR15727
ES1003935	ESR15675
ES1003936	ESR15690
ES1003937	ESR15711
ES1003937	ESR15710
ES1003938	ESR15688
ES1003938	ESR15686
ES1003939	ESR15678
ES1003940	ESR15674
ES1003941	ESR15726
ES1003942	ESR15680
ES1003943	ESR15693
ES1003944	ESR15700
ES1003944	ESR15696
ES1003945	ESR15683
ES1003947	ESR15730
ES1003947	ESR15700
ES1003947	ESR15695
ES1003948	ESR15725
ES1003948	ESR15678
ES1003950	ESR15676
ES1003952	ESR15679
ES1003953	ESR15678
ES1003954	ESR15694
ES1003954	ESR15693
ES1003954	ESR15680
ES1003954	ESR15673
ES1003956	ESR15711
ES1003956	ESR15673
ES1003957	ESR15673
ES1003958	ESR16851
ES1003959	ESR15674
