FCS_HEADER_ID	PARAMETER_NUMBER	PNN_PREFERRED	PNN_REPORTED	PNS_PREFERRED	PNS_REPORTED
232743	20		PE-TxRed-A	CD28	CD28
232745	23		PE-Cy7-A	ICOS	ICOS
232745	7		Pacific Blue-A	PDCD1	PD1
232745	13		710/50 Violet-A	CD27	CD27
232745	17		APC-Cy7-A		CD14-16-19dead
232745	18		FITC-A		Foxp1
232763	9		560/40 Violet-A	CD8A	CD8
232763	24		Time		Time
232763	3		FSC-W		FSC-W
232774	5		SSC-H		SSC-H
232774	6		SSC-W		SSC-W
232819	16		AF 700-A	MKI67	Ki67
232819	17		APC-Cy7-A		CD14-16-19dead
232819	22		PE-Cy5-5-A	CD4	CD4
232828	3		FSC-W		FSC-W
232828	6		SSC-W		SSC-W
232832	9		560/40 Violet-A	CD8A	CD8
232832	19		PE-A	CD39	CD39
232832	17		APC-Cy7-A		CD14-16-19dead
232832	20		PE-TxRed-A		Foxp3
232832	11		610/20 Violet-A	PTPRC	CD45RA
232834	13		710/50 Violet-A	CD27	CD27
232859	24		Time		Time
232859	16		AF 700-A	MKI67	Ki67
232859	1		FSC-A		FSC-A
232866	19		PE-A		Itch
232866	18		FITC-A		Foxp1
232866	10		585/42 Violet-A	CD3E	CD3
232871	5		SSC-H		SSC-H
232871	24		Time		Time
232871	1		FSC-A		FSC-A
232883	15		APC-A		HEYL
232883	6		SSC-W		SSC-W
232928	7		Pacific Blue-A	PDCD1	PD1
232928	13		710/50 Violet-A	CD27	CD27
232928	17		APC-Cy7-A		CD14-16-19dead
232928	1		FSC-A		FSC-A
232969	4		SSC-A		SSC-A
232969	5		SSC-H		SSC-H
232969	3		FSC-W		FSC-W
232969	16		AF 700-A	MKI67	Ki67
232969	22		PE-Cy5-5-A	CD4	CD4
232969	2		FSC-H		FSC-H
232972	22		PE-Cy5-5-A		PE-Cy5-5-A
232974	23		PE-Cy7-A	ICOS	ICOS
232994	13		710/50 Violet-A	CD27	CD27
232994	22		PE-Cy5-5-A	CD4	CD4
232994	18		FITC-A	CD38	CD38
232994	6		SSC-W		SSC-W
233001	24		Time		Time
233001	1		FSC-A		FSC-A
233001	6		SSC-W		SSC-W
234687	7		FITC-A	FOXP3	FoxP3
234687	3		FSC-W		FSC-W
234687	13		Qdot 655-A	CD19	CD19
234704	12		Qdot 605-A	PDCD1	PD-1
234704	2		FSC-H		FSC-H
234710	4		SSC-A		SSC-A
234710	1		FSC-A		FSC-A
234710	11		Qdot 565-A	CD20	CD20
234717	7		FITC-A	FOXP3	FoxP3
234717	5		SSC-H		SSC-H
232902	22		PE-Cy5-5-A		Foxo1
232902	14		780/60 Violet-A	CD38	CD38
232902	15		APC-A		HEYL
232910	19		PE-A	CD39	CD39
232910	23		PE-Cy7-A	IL7R	CD127
