BIOSAMPLE_ACCESSION	EXPSAMPLE_ACCESSION	EXPERIMENT_ACCESSION
BS752684	ES848033	EXP13922
BS752684	ES834717	EXP13921
BS752685	ES848039	EXP13922
BS752685	ES834729	EXP13921
BS752685	ES834727	EXP13921
BS752685	ES834726	EXP13921
BS752685	ES834724	EXP13921
BS752686	ES848047	EXP13922
BS752686	ES834737	EXP13921
BS752687	ES848055	EXP13922
BS752687	ES848054	EXP13922
BS752687	ES834743	EXP13921
BS752690	ES834764	EXP13921
BS752690	ES834759	EXP13921
BS752691	ES834767	EXP13921
BS752692	ES834777	EXP13921
BS752692	ES848078	EXP13922
BS752693	ES834781	EXP13921
BS752693	ES848085	EXP13922
BS752694	ES834793	EXP13921
BS752694	ES834792	EXP13921
BS752695	ES834797	EXP13921
BS752695	ES834794	EXP13921
BS752695	ES848097	EXP13922
BS752696	ES834802	EXP13921
BS752697	ES834812	EXP13921
BS752697	ES834811	EXP13921
BS752698	ES834819	EXP13921
BS752698	ES848114	EXP13922
BS752698	ES848111	EXP13922
BS752699	ES834828	EXP13921
BS752700	ES848128	EXP13922
BS752700	ES848127	EXP13922
BS752701	ES848134	EXP13922
BS752701	ES848132	EXP13922
BS752702	ES848138	EXP13922
BS752703	ES834852	EXP13921
BS752703	ES848143	EXP13922
BS752703	ES848141	EXP13922
BS752704	ES834859	EXP13921
BS752705	ES834870	EXP13921
