FCS File Name,fcs_file_name,expsample_accession,study_time_collected,type,biosample_accession,name..7,file_info_id,measurement_technique
export_260_0.728625.fcs,export_260_0.fcs,ES1231685,0,PBMC,BS808026,09-H1-0239 flow cytometry T3,728625,Flow Cytometry
export_260_1.728626.fcs,export_260_1.fcs,ES1231686,1,PBMC,BS808027,09-H1-0239 flow cytometry T3,728626,Flow Cytometry
export_260_7.728627.fcs,export_260_7.fcs,ES1231687,7,PBMC,BS808028,09-H1-0239 flow cytometry T3,728627,Flow Cytometry
export_260_70.728628.fcs,export_260_70.fcs,ES1231688,70,PBMC,BS808030,09-H1-0239 flow cytometry T3,728628,Flow Cytometry
export_260_pre.728629.fcs,export_260_pre.fcs,ES1231689,-7,PBMC,BS808029,09-H1-0239 flow cytometry T3,728629,Flow Cytometry
export_261_0.728630.fcs,export_261_0.fcs,ES1231690,0,PBMC,BS808031,09-H1-0239 flow cytometry T3,728630,Flow Cytometry
export_261_1.728631.fcs,export_261_1.fcs,ES1231691,1,PBMC,BS808032,09-H1-0239 flow cytometry T3,728631,Flow Cytometry
export_261_7.728632.fcs,export_261_7.fcs,ES1231692,7,PBMC,BS808033,09-H1-0239 flow cytometry T3,728632,Flow Cytometry
export_261_70.728633.fcs,export_261_70.fcs,ES1231693,70,PBMC,BS808035,09-H1-0239 flow cytometry T3,728633,Flow Cytometry
export_261_pre.728634.fcs,export_261_pre.fcs,ES1231694,-7,PBMC,BS808034,09-H1-0239 flow cytometry T3,728634,Flow Cytometry
export_262_0.728635.fcs,export_262_0.fcs,ES1231695,0,PBMC,BS808036,09-H1-0239 flow cytometry T3,728635,Flow Cytometry
export_262_1.728636.fcs,export_262_1.fcs,ES1231696,1,PBMC,BS808037,09-H1-0239 flow cytometry T3,728636,Flow Cytometry
export_262_7.728637.fcs,export_262_7.fcs,ES1231697,7,PBMC,BS808038,09-H1-0239 flow cytometry T3,728637,Flow Cytometry
export_262_70.728638.fcs,export_262_70.fcs,ES1231698,70,PBMC,BS808040,09-H1-0239 flow cytometry T3,728638,Flow Cytometry
export_262_pre.728639.fcs,export_262_pre.fcs,ES1231699,-7,PBMC,BS808039,09-H1-0239 flow cytometry T3,728639,Flow Cytometry
export_263_0.728640.fcs,export_263_0.fcs,ES1231700,0,PBMC,BS1007354,09-H1-0239 flow cytometry T3,728640,Flow Cytometry
export_263_1.728641.fcs,export_263_1.fcs,ES1231701,1,PBMC,BS808041,09-H1-0239 flow cytometry T3,728641,Flow Cytometry
export_263_7.728642.fcs,export_263_7.fcs,ES1231702,7,PBMC,BS1007355,09-H1-0239 flow cytometry T3,728642,Flow Cytometry
export_263_70.728643.fcs,export_263_70.fcs,ES1231703,70,PBMC,BS1007356,09-H1-0239 flow cytometry T3,728643,Flow Cytometry
export_263_pre.728644.fcs,export_263_pre.fcs,ES1231704,-7,PBMC,BS808042,09-H1-0239 flow cytometry T3,728644,Flow Cytometry
export_265_0.728645.fcs,export_265_0.fcs,ES1231705,0,PBMC,BS808043,09-H1-0239 flow cytometry T3,728645,Flow Cytometry
