EXPSAMPLE_ACCESSION	REAGENT_ACCESSION
ES983772	ESR16489
ES983772	ESR16448
ES983772	ESR16445
ES983773	ESR16474
ES983774	ESR16498
ES983774	ESR16491
ES983774	ESR16490
ES983774	ESR16486
ES983774	ESR16445
ES983775	ESR16492
ES983775	ESR16488
ES983775	ESR16474
ES983776	ESR16494
ES983777	ESR16503
ES983777	ESR16494
ES983777	ESR16489
ES983778	ESR16486
ES983778	ESR16445
ES983779	ESR16492
ES983779	ESR16488
ES983780	ESR16494
ES983780	ESR16490
ES983781	ESR16497
ES983782	ESR16496
ES983782	ESR16491
ES983784	ESR16496
ES983785	ESR16498
ES983785	ESR16494
ES983786	ESR16496
ES983786	ESR16493
ES983787	ESR16496
ES983787	ESR16492
ES983787	ESR16491
ES983787	ESR16489
ES983787	ESR16487
ES983788	ESR16496
ES983788	ESR16494
ES983788	ESR16445
ES983789	ESR16491
ES983789	ESR16486
ES983790	ESR16503
ES983790	ESR16495
ES983790	ESR16445
ES983791	ESR16503
ES983791	ESR16488
ES983792	ESR16503
ES983792	ESR16491
ES983792	ESR16490
ES983792	ESR16445
ES983793	ESR16503
ES983793	ESR16493
ES983794	ESR16494
ES983795	ESR16474
ES983796	ESR16503
ES983796	ESR16498
ES983796	ESR16487
ES983797	ESR16498
ES983797	ESR16491
ES983798	ESR16503
ES983798	ESR16497
ES983798	ESR16494
ES983799	ESR16495
ES983799	ESR16486
ES983800	ESR16496
ES983801	ESR16503
ES983801	ESR16497
ES983802	ESR16489
ES983802	ESR16445
ES983803	ESR16497
ES983803	ESR16494
ES983804	ESR16442
ES983804	ESR16441
ES983807	ESR16443
ES983810	ESR16441
ES983811	ESR16442
ES983817	ESR16442
ES983818	ESR16443
ES983819	ESR16443
ES983824	ESR16441
ES983826	ESR16442
ES983836	ESR16442
ES982799	ESR16475
ES982799	ESR16474
ES982800	ESR16481
ES982800	ESR16477
ES982801	ESR16474
ES982801	ESR16473
ES982802	ESR16478
ES982802	ESR16448
ES982802	ESR16445
ES982803	ESR16481
ES982803	ESR16445
ES982804	ESR16483
ES982804	ESR16473
ES982805	ESR16484
ES982805	ESR16482
ES982806	ESR16483
ES982807	ESR16485
ES982807	ESR16475
ES982808	ESR16484
ES982808	ESR16481
ES982809	ESR16448
ES982810	ESR16485
ES982810	ESR16479
ES982811	ESR16483
ES982812	ESR16482
ES982812	ESR16474
ES982813	ESR16484
ES982813	ESR16478
ES982813	ESR16475
ES982813	ESR16448
ES982814	ESR16477
ES982816	ESR16477
ES982817	ESR16485
ES982817	ESR16484
ES982817	ESR16478
ES982817	ESR16476
ES982818	ESR16483
ES982818	ESR16477
ES982818	ESR16448
ES982820	ESR16485
ES982820	ESR16483
ES982820	ESR16476
ES982821	ESR16476
ES982821	ESR16481
ES982822	ESR16481
ES982822	ESR16476
ES982823	ESR16474
ES982823	ESR16448
ES982823	ESR16445
ES982824	ESR16455
ES982824	ESR16454
ES982824	ESR16452
ES982825	ESR16456
ES982826	ESR16452
ES982826	ESR16451
ES982826	ESR16447
ES982826	ESR16446
ES982827	ESR16458
ES982827	ESR16454
ES982828	ESR16458
ES982828	ESR16451
ES982828	ESR16448
ES982829	ESR16445
ES982830	ESR16444
ES982830	ESR16455
ES982830	ESR16453
ES982831	ESR16454
ES982831	ESR16450
ES982832	ESR16457
ES982832	ESR16447
ES982833	ESR16457
ES982833	ESR16451
ES982833	ESR16446
ES982833	ESR16445
ES982833	ESR16444
ES982834	ESR16458
ES982835	ESR16458
ES982836	ESR16458
ES982836	ESR16451
ES982837	ESR16457
ES982837	ESR16449
ES982837	ESR16446
ES982838	ESR16499
ES982839	ESR16455
ES982839	ESR16451
ES982839	ESR16448
ES982840	ESR16449
ES982840	ESR16446
ES982840	ESR16445
ES982841	ESR16451
ES982841	ESR16448
ES982842	ESR16449
ES982844	ESR16444
ES982845	ESR16451
ES982846	ESR16458
ES982846	ESR16456
ES982846	ESR16448
ES982847	ESR16449
ES982848	ESR16455
ES982849	ESR16454
ES982849	ESR16453
ES982850	ESR16454
ES982850	ESR16453
ES982850	ESR16452
ES982850	ESR16448
ES982851	ESR16455
ES982852	ESR16458
ES982852	ESR16455
ES982853	ESR16458
ES982853	ESR16454
ES982853	ESR16446
ES982853	ESR16445
ES982854	ESR16452
ES982855	ESR16452
ES982855	ESR16446
ES982855	ESR16445
ES982856	ESR16499
ES982856	ESR16457
ES982856	ESR16454
ES982857	ESR16450
ES982857	ESR16447
ES982857	ESR16446
ES982858	ESR16499
ES982858	ESR16458
ES982858	ESR16450
ES982859	ESR16447
ES982860	ESR16455
ES982860	ESR16444
ES982861	ESR16456
ES982861	ESR16448
ES982862	ESR16447
ES982864	ESR16453
ES982864	ESR16444
ES982865	ESR16454
ES982865	ESR16448
ES982866	ESR16499
ES982866	ESR16458
ES982866	ESR16450
ES982867	ESR16455
ES982867	ESR16453
ES982867	ESR16450
ES982869	ESR16458
ES982869	ESR16451
ES982869	ESR16449
ES982870	ESR16455
ES982870	ESR16452
ES982870	ESR16445
ES982871	ESR16458
ES982873	ESR16454
