STANDARD_CURVE_ACCESSION	EXPERIMENT_ACCESSION	FILE_INFO_ID	DATA_FORMAT	RESULT_SCHEMA
SC6905	EXP13950	533146	MBAA	MBAA
SC6912	EXP13950	533146	MBAA	MBAA
SC6915	EXP13950	533146	MBAA	MBAA
SC6921	EXP13950	533146	MBAA	MBAA
SC6926	EXP13950	533146	MBAA	MBAA
SC6927	EXP13950	533146	MBAA	MBAA
SC6940	EXP13950	533146	MBAA	MBAA
SC6942	EXP13950	533146	MBAA	MBAA
SC6958	EXP13950	533146	MBAA	MBAA
SC6968	EXP13950	533146	MBAA	MBAA
SC6974	EXP13950	533146	MBAA	MBAA
SC6983	EXP13950	533146	MBAA	MBAA
SC6985	EXP13950	533146	MBAA	MBAA
SC6991	EXP13950	533146	MBAA	MBAA
SC6998	EXP13950	533146	MBAA	MBAA
SC7006	EXP13950	533146	MBAA	MBAA
SC7008	EXP13950	533146	MBAA	MBAA
SC7025	EXP13950	533146	MBAA	MBAA
SC7027	EXP13950	533146	MBAA	MBAA
SC7030	EXP13950	533146	MBAA	MBAA
SC7031	EXP13950	533146	MBAA	MBAA
SC7034	EXP13950	533146	MBAA	MBAA
SC7050	EXP13950	533146	MBAA	MBAA
SC7051	EXP13950	533146	MBAA	MBAA
SC7054	EXP13950	533146	MBAA	MBAA
SC7056	EXP13950	533146	MBAA	MBAA
SC7057	EXP13950	533146	MBAA	MBAA
SC7063	EXP13950	533146	MBAA	MBAA
SC7065	EXP13950	533146	MBAA	MBAA
SC7081	EXP13950	533146	MBAA	MBAA
SC7088	EXP13950	533146	MBAA	MBAA
SC7105	EXP13950	533146	MBAA	MBAA
SC7112	EXP13950	533146	MBAA	MBAA
SC7126	EXP13950	533146	MBAA	MBAA
SC7134	EXP13950	533146	MBAA	MBAA
SC7139	EXP13950	533146	MBAA	MBAA
SC7140	EXP13950	533146	MBAA	MBAA
SC7143	EXP13950	533146	MBAA	MBAA
SC7149	EXP13950	533146	MBAA	MBAA
SC7157	EXP13950	533146	MBAA	MBAA
SC7161	EXP13950	533146	MBAA	MBAA
SC7162	EXP13950	533146	MBAA	MBAA
SC7184	EXP13950	533146	MBAA	MBAA
SC7190	EXP13950	533146	MBAA	MBAA
SC7195	EXP13950	533146	MBAA	MBAA
SC7199	EXP13950	533146	MBAA	MBAA
SC6627	EXP13950	533146	MBAA	MBAA
SC6638	EXP13950	533146	MBAA	MBAA
SC6639	EXP13950	533146	MBAA	MBAA
SC6654	EXP13950	533146	MBAA	MBAA
SC6668	EXP13950	533146	MBAA	MBAA
SC6681	EXP13950	533146	MBAA	MBAA
SC6702	EXP13950	533146	MBAA	MBAA
SC6703	EXP13950	533146	MBAA	MBAA
SC6717	EXP13950	533146	MBAA	MBAA
SC6723	EXP13950	533146	MBAA	MBAA
SC6724	EXP13950	533146	MBAA	MBAA
SC6727	EXP13950	533146	MBAA	MBAA
SC6729	EXP13950	533146	MBAA	MBAA
SC6732	EXP13950	533146	MBAA	MBAA
SC6736	EXP13950	533146	MBAA	MBAA
SC6739	EXP13950	533146	MBAA	MBAA
SC6746	EXP13950	533146	MBAA	MBAA
SC6769	EXP13950	533146	MBAA	MBAA
SC6818	EXP13950	533146	MBAA	MBAA
SC6828	EXP13950	533146	MBAA	MBAA
SC6834	EXP13950	533146	MBAA	MBAA
SC6857	EXP13950	533146	MBAA	MBAA
SC6861	EXP13950	533146	MBAA	MBAA
SC6871	EXP13950	533146	MBAA	MBAA
SC6878	EXP13950	533146	MBAA	MBAA
SC6880	EXP13950	533146	MBAA	MBAA
SC6890	EXP13950	533146	MBAA	MBAA
SC6899	EXP13950	533146	MBAA	MBAA
SC6900	EXP13950	533146	MBAA	MBAA
SC6929	EXP13950	533146	MBAA	MBAA
SC6936	EXP13950	533146	MBAA	MBAA
SC6946	EXP13950	533146	MBAA	MBAA
SC6950	EXP13950	533146	MBAA	MBAA
SC6955	EXP13950	533146	MBAA	MBAA
SC6987	EXP13950	533146	MBAA	MBAA
SC6988	EXP13950	533146	MBAA	MBAA
SC6990	EXP13950	533146	MBAA	MBAA
SC6993	EXP13950	533146	MBAA	MBAA
SC6999	EXP13950	533146	MBAA	MBAA
SC7011	EXP13950	533146	MBAA	MBAA
SC7028	EXP13950	533146	MBAA	MBAA
SC7038	EXP13950	533146	MBAA	MBAA
SC7043	EXP13950	533146	MBAA	MBAA
SC7046	EXP13950	533146	MBAA	MBAA
SC7048	EXP13950	533146	MBAA	MBAA
SC7053	EXP13950	533146	MBAA	MBAA
SC7055	EXP13950	533146	MBAA	MBAA
SC7067	EXP13950	533146	MBAA	MBAA
SC7071	EXP13950	533146	MBAA	MBAA
SC7086	EXP13950	533146	MBAA	MBAA
SC7089	EXP13950	533146	MBAA	MBAA
SC7102	EXP13950	533146	MBAA	MBAA
SC7103	EXP13950	533146	MBAA	MBAA
SC7136	EXP13950	533146	MBAA	MBAA
SC7144	EXP13950	533146	MBAA	MBAA
SC7145	EXP13950	533146	MBAA	MBAA
SC7150	EXP13950	533146	MBAA	MBAA
SC7153	EXP13950	533146	MBAA	MBAA
SC7155	EXP13950	533146	MBAA	MBAA
SC7160	EXP13950	533146	MBAA	MBAA
SC7164	EXP13950	533146	MBAA	MBAA
SC7177	EXP13950	533146	MBAA	MBAA
SC7180	EXP13950	533146	MBAA	MBAA
SC7201	EXP13950	533146	MBAA	MBAA
SC6630	EXP13950	533146	MBAA	MBAA
SC6641	EXP13950	533146	MBAA	MBAA
SC6648	EXP13950	533146	MBAA	MBAA
SC6660	EXP13950	533146	MBAA	MBAA
SC6667	EXP13950	533146	MBAA	MBAA
SC6670	EXP13950	533146	MBAA	MBAA
SC6690	EXP13950	533146	MBAA	MBAA
SC6711	EXP13950	533146	MBAA	MBAA
SC6715	EXP13950	533146	MBAA	MBAA
SC6726	EXP13950	533146	MBAA	MBAA
SC6733	EXP13950	533146	MBAA	MBAA
SC6762	EXP13950	533146	MBAA	MBAA
SC6763	EXP13950	533146	MBAA	MBAA
SC6776	EXP13950	533146	MBAA	MBAA
SC6779	EXP13950	533146	MBAA	MBAA
SC6783	EXP13950	533146	MBAA	MBAA
SC6786	EXP13950	533146	MBAA	MBAA
SC6795	EXP13950	533146	MBAA	MBAA
SC6797	EXP13950	533146	MBAA	MBAA
SC6799	EXP13950	533146	MBAA	MBAA
SC6800	EXP13950	533146	MBAA	MBAA
SC6802	EXP13950	533146	MBAA	MBAA
SC6813	EXP13950	533146	MBAA	MBAA
SC6816	EXP13950	533146	MBAA	MBAA
SC6825	EXP13950	533146	MBAA	MBAA
SC6831	EXP13950	533146	MBAA	MBAA
SC6840	EXP13950	533146	MBAA	MBAA
SC6849	EXP13950	533146	MBAA	MBAA
SC6852	EXP13950	533146	MBAA	MBAA
SC6854	EXP13950	533146	MBAA	MBAA
SC6870	EXP13950	533146	MBAA	MBAA
SC6876	EXP13950	533146	MBAA	MBAA
SC6884	EXP13950	533146	MBAA	MBAA
SC6888	EXP13950	533146	MBAA	MBAA
SC6889	EXP13950	533146	MBAA	MBAA
SC6904	EXP13950	533146	MBAA	MBAA
SC6911	EXP13950	533146	MBAA	MBAA
SC6916	EXP13950	533146	MBAA	MBAA
SC6918	EXP13950	533146	MBAA	MBAA
SC6919	EXP13950	533146	MBAA	MBAA
SC6920	EXP13950	533146	MBAA	MBAA
SC6928	EXP13950	533146	MBAA	MBAA
SC6932	EXP13950	533146	MBAA	MBAA
SC6935	EXP13950	533146	MBAA	MBAA
SC6953	EXP13950	533146	MBAA	MBAA
SC6962	EXP13950	533146	MBAA	MBAA
SC6964	EXP13950	533146	MBAA	MBAA
SC6965	EXP13950	533146	MBAA	MBAA
SC6975	EXP13950	533146	MBAA	MBAA
SC6976	EXP13950	533146	MBAA	MBAA
SC6981	EXP13950	533146	MBAA	MBAA
SC6984	EXP13950	533146	MBAA	MBAA
SC7003	EXP13950	533146	MBAA	MBAA
SC7009	EXP13950	533146	MBAA	MBAA
SC7013	EXP13950	533146	MBAA	MBAA
SC7015	EXP13950	533146	MBAA	MBAA
SC7019	EXP13950	533146	MBAA	MBAA
SC7026	EXP13950	533146	MBAA	MBAA
SC7039	EXP13950	533146	MBAA	MBAA
SC7042	EXP13950	533146	MBAA	MBAA
SC7061	EXP13950	533146	MBAA	MBAA
SC7069	EXP13950	533146	MBAA	MBAA
SC7070	EXP13950	533146	MBAA	MBAA
SC7073	EXP13950	533146	MBAA	MBAA
SC7074	EXP13950	533146	MBAA	MBAA
SC7077	EXP13950	533146	MBAA	MBAA
SC7084	EXP13950	533146	MBAA	MBAA
SC7093	EXP13950	533146	MBAA	MBAA
SC7107	EXP13950	533146	MBAA	MBAA
SC7111	EXP13950	533146	MBAA	MBAA
SC7116	EXP13950	533146	MBAA	MBAA
SC7122	EXP13950	533146	MBAA	MBAA
