FCS_ANALYZED_RESULT_MARKER_ID	POPULATION_MARKER_PREFERRED	POPULATION_MARKER_REPORTED	PREFERRED_ANALYTE_ACCESSION	RESULT_ID
1141908	SLAN+	SLAN+	ANA906	557702
1141917	CD14+	CD14+	ANA804	557705
1141924	CD62L+	CD62L+	ANA712	557706
1141934	granulocyte	granulocyte		557710
1141936	CD16+	CD16+ granulocyte	ANA811	557712
1141959	CD138+	CD138+	ANA891	557718
1141964	CD38+	CD38+	ANA808	557719
1141977	CD19+	CD19+	ANA805	557722
1141985	CD14-	CD14-	ANA804	557723
1141987	IgD+	IgD+	ANA813	557723
1142006	CD20+	CD20+	ANA806	557727
1142016	B7-2+	CD86+	ANA868	557729
1142020	CD27+	CD27+	ANA40	557730
1142030	CD3-	CD3-	ANA809	557732
1142035	CD19+	CD19+	ANA805	557733
1142040	CD19+	CD19+	ANA805	557734
1142041	CD3-	CD3-	ANA809	557734
1142051	BDCA2, CD303+	BDCA2+	ANA870	557736
1142052	CD11c-	CD11c-	ANA814	557736
1142065	HLADR+	HLA-DR+	ANA812	557739
1142095	BDCA2, CD303-	BDCA2-	ANA870	557745
1142097	CD40+	CD40+	ANA42	557745
1142113		Lin1-		557749
1142130	BDCA3-	BDCA3-	ANA894	557751
1142134	HLADR+	HLA-DR+	ANA812	557752
